lcc_size,num_components,fragmentation,lcc_drop_percent,k
118971,5717,0.09582076167169529,0.13346764039284814,1
118914,5766,0.09624709297906942,0.18131453034500128,2
118831,5841,0.09687103369129868,0.2509863174683119,3
118773,5891,0.09730497963154372,0.29967262654243265,4
118663,5988,0.09813414402432075,0.3920087299588685,5
118596,6051,0.09863650873272833,0.44824981113069756,6
118561,6083,0.09889567008428779,0.47762948039956354,7
118541,6102,0.09904082935578995,0.4944178628389155,8
118476,6158,0.09952801149189416,0.5489801057668093,9
118369,6248,0.10033442274074633,0.6387979518173423,10
118243,6364,0.10128525716544168,0.7445647611852598,11
118211,6395,0.10152164660099716,0.771426173088223,12
117834,6729,0.10438027772921776,1.0878871820700076,13
117791,6770,0.10470030250976692,1.1239822043146144,14
117700,6848,0.10538517082810783,1.2003693444136658,15
117501,7026,0.10689094281110334,1.367413749685218,16
117473,7053,0.10709698015399471,1.3909174851003105,17
117317,7178,0.10827594594183731,1.5218668681272558,18
117255,7232,0.10874043219495144,1.573910853689247,19
117171,7313,0.10937214958954089,1.6444220599345254,20
