node,attack_score
321,0.6334541764948902
25,0.5987622009943792
20,0.592382362603652
1682,0.5495127964238062
1652,0.5377489918249643
966,0.5341917989460865
353,0.5047520848602772
112586,0.5012122935493049
655,0.46697412191812676
167,0.46182325339947683
1334,0.4408588904086335
2292,0.4374858470531857
1287,0.42155660070417617
57,0.40377340590101257
1480,0.39798557313776073
366,0.3978338917439209
10428,0.38082749562483614
1118,0.3764452232275284
5,0.3660031740457441
5355,0.3617636435519627
578,0.35714474539423874
161,0.34028921361171455
433,0.3221402381779644
12168,0.3080891466011301
1352,0.3033632800904103
131,0.2989519148936247
851,0.29364488169979214
3749,0.28273051406964506
68214,0.2787926605250878
855,0.259932156167584
72164,0.256615095135498
365,0.24867093842159838
2183,0.2468356268635924
2285,0.2410433488261521
2010,0.24072417273867766
6302,0.23972224972111963
1894,0.23508212339374396
23,0.23486043488820033
852,0.234086693460772
735,0.23032605720556687
3253,0.22338293082964858
410,0.22163616925585414
450,0.21928990378153984
1321,0.21752999737222245
267,0.21471107328327624
5148,0.2124913447236491
79,0.2122396157504192
11247,0.2073555921466705
6296,0.20571386987360107
2293,0.20541944256046846
3879,0.20420324037719692
17074,0.20399052014776675
17354,0.20383512497473136
112892,0.20311464102083632
21255,0.20017543190151735
11802,0.19878507718399047
382,0.1979167692950469
1608,0.19611416277482777
666,0.19533041139967425
3066,0.19490505789469664
24419,0.19353944945726487
961,0.1913645923082426
57101,0.19080705149018928
1003,0.19063504208739251
3847,0.18984661296402666
2363,0.1890474368920771
1905,0.1884640274315625
11597,0.18742793599810795
1438,0.18646323628582498
3249,0.18375793444567162
8953,0.18289895422306196
413,0.18241363511628073
3921,0.18180214363611708
1970,0.1812492890077332
14576,0.18036708444588143
10369,0.17990068289784203
11250,0.17789420645062054
3176,0.17697629289749317
12320,0.17600088650753115
1503,0.17505366929592103
5669,0.17485303824935206
12511,0.17429639599535426
3343,0.17404182963063752
2283,0.1728488037576699
12504,0.1715276222376356
16933,0.17106085358759468
16973,0.17059804413042146
671,0.17051822208357068
1027,0.16903782402800405
125640,0.16744053429198844
4169,0.16654144527612835
2402,0.16653825914268405
1397,0.1650756503652791
4256,0.16432117479789077
570,0.16431111999442288
2202,0.16325109836270466
6279,0.16298082285836937
96564,0.15964661792319323
356,0.1596169148592819
12134,0.15953648226250294
63665,0.15949992683924297
1945,0.15949635550807084
914,0.15845519199141173
1605,0.1580600001096523
931,0.1574720732517496
3890,0.1557333942232771
30913,0.15509565295196132
1119,0.15495340075098918
2841,0.15494984341013265
18828,0.15492549146496193
2358,0.1539200293870916
3697,0.1531255553633477
12041,0.15193072517855702
1882,0.1492136609875241
5769,0.14900079617358128
48758,0.1485818245116706
5730,0.14845883337640553
4948,0.1481315912211422
3244,0.14795516905664996
14807,0.14673485671746017
9663,0.14612353563361305
1784,0.146078620732428
1037,0.14561862594903902
12359,0.14526818267163844
3358,0.14504898610683445
2220,0.14439491569794904
865,0.14436967956183963
2738,0.14381433239073424
661,0.14379172946042396
2044,0.14349801974908197
1404,0.14326613578769054
5592,0.14270556218632685
430,0.14266824765486336
715,0.1416650590157713
689,0.14065642284725616
913,0.14018787885854864
1685,0.13961509521516938
17011,0.1391484271228725
50524,0.13905540444538259
3177,0.13855057193558443
2506,0.13757104942077422
1089,0.13751632106052047
155,0.1369946906333603
29873,0.1363398487097277
1348,0.13505609400550708
16639,0.1341658822110065
20230,0.13402655504516792
8804,0.13301544604191043
18601,0.13228258767366974
7460,0.13213361156332418
1816,0.13116279325560085
1127,0.13115829045357488
5496,0.13091061397680448
29929,0.1306995160401992
6055,0.1300520253499056
6267,0.12978167590147235
29936,0.12954510680201964
17026,0.12917975865204276
876,0.12806479702011625
13106,0.12793749392223658
5155,0.1273706389970572
3140,0.12623920367208888
3112,0.12621734352661668
211,0.12604112453186758
1322,0.1258308678636564
127945,0.12568554545199884
17358,0.1248970506990566
691,0.12405340449897799
3144,0.1237242473620439
2116,0.12273324910057214
2282,0.12248551701425274
5311,0.1212860757268654
423,0.12118099908046047
3710,0.12117088340067672
946,0.12114604085074372
28779,0.12075330011646399
453,0.12049469251965683
175,0.1204579736941506
5213,0.12039378415518236
4704,0.12026187171748923
32032,0.11995182979537927
66501,0.11950600252589834
1951,0.1187618757618352
6282,0.11834812032402899
6293,0.11828124746950208
11445,0.11750465035050087
17059,0.11740831945474343
1288,0.11682108091581417
2224,0.1165799919585053
549,0.11644604574055445
1420,0.11617159745166662
7766,0.11614578452218115
8982,0.1144582144354949
2038,0.11425238437239665
1306,0.11402893027671714
169,0.11396642988378883
6306,0.11394294550769438
53171,0.11354189977939322
532,0.11324932342583757
1493,0.11291858102147083
1512,0.11187891301042789
21160,0.11156644166388496
6800,0.11142614834401508
16093,0.11121622276516624
1345,0.11098103661062396
1444,0.11059953567803898
1213,0.110571062742708
7769,0.11029753561869404
52548,0.11015551642943279
1274,0.11000664662974857
3259,0.10959441970583972
63669,0.10950333370033045
10076,0.1093266967375472
2496,0.10901644480577094
2648,0.10880870001771688
2094,0.10878891791958178
8699,0.1085418719688794
816,0.10836129493629928
4071,0.10796701801411593
42061,0.10795394805900894
21967,0.10785681189169707
3133,0.10771447878217477
5983,0.1076533121418538
3420,0.10648835202904602
35027,0.10608558006817739
1149,0.10586451002430622
6379,0.10585544789379121
34463,0.1056128509283804
1440,0.10539080930381257
544,0.10514044292810798
1502,0.10496311632457726
1002,0.10474986146612646
2084,0.10466605120942093
2842,0.10452525138305765
2200,0.10450870175032988
58228,0.10405590866246289
6874,0.10388346328406642
4966,0.10387264759121242
4275,0.10340539565426847
3723,0.10329087034070646
1891,0.10301758965908904
6339,0.10268174828038193
1865,0.10265876030365206
48704,0.10208961142971582
13408,0.10208670465991854
317,0.10192803982784898
68120,0.10177179232856097
21873,0.10176877471672466
6544,0.10175520241893124
25823,0.1016031212222146
1615,0.10160291911513439
14461,0.10124684372349589
2718,0.10117511290568666
1848,0.10090382009993823
1588,0.10054506221436953
38004,0.10047431058499384
17995,0.10046686385472704
124408,0.10043601145424204
122475,0.10042034721906874
1962,0.10032463192272195
26547,0.10025352688359866
74580,0.10019046163199972
263,0.09983972928823176
33931,0.09966070194626184
6937,0.09963712973913454
79321,0.099415093050784
14491,0.09930271680142481
55506,0.09927238281713441
122474,0.09907572441257205
57749,0.09891929703889632
58403,0.09884503618195123
54138,0.09882932900346729
23624,0.09869939755944453
34442,0.09869536635372887
2279,0.09850759924750205
1328,0.09844307571606103
116033,0.09836135714559031
5203,0.09802650630074539
16926,0.09800324334668978
11594,0.09768657897075826
657,0.0975963436845324
1702,0.09746025192962356
45143,0.09743999877514817
10967,0.09738721254769017
3438,0.09725698543608141
2557,0.09725224384162352
2505,0.09724726228450085
1495,0.0971610960882725
414,0.09680437861992117
3619,0.09660835121279268
38390,0.09598359807378781
1687,0.09593909040548357
3277,0.09573421493972342
21249,0.09556225486205144
2907,0.09552201652606332
24550,0.09540236225444573
5377,0.09534140940844404
3784,0.09510708720915159
328,0.09504651907221409
3765,0.0949763942890543
1313,0.09473279770033541
3380,0.09419672109226172
363,0.09412215039622152
12016,0.09401997621319477
2677,0.09379579110335967
11409,0.09358856462549833
56342,0.09338156762202095
4080,0.09321055103047715
27296,0.09301036004838935
8968,0.09255645387828056
1504,0.09244707612507667
2955,0.09229316984073233
9349,0.092071643702784
11910,0.09193844251672087
4417,0.09190765401778293
3060,0.0918927575085187
1606,0.0918762509099651
21143,0.09187103575331607
5003,0.09130613688223421
11349,0.09128959684135887
2550,0.0910402888659321
17642,0.09077230419409318
4542,0.09067645397088832
2028,0.09061887656665907
8833,0.09053759810793303
9071,0.09053019761406933
32371,0.09052133200708128
121897,0.09048462125186955
1690,0.09026261254604522
16936,0.09013769458235821
11655,0.09002358532381446
8835,0.08992991419584277
3280,0.08961599199453937
11919,0.08938537964841015
7338,0.08882985421485502
58002,0.08874053237380555
3147,0.08862284550322179
2301,0.08850951439113489
219,0.08831213319147822
11640,0.08792548771577256
717,0.08786189704389054
1929,0.08765670463930181
112779,0.08745999979584934
1578,0.08733446720600811
106,0.08731080639574318
5517,0.08687824113583584
1492,0.08654086042403333
1955,0.0863429921868711
60090,0.08631883508033886
14432,0.0862628515840729
2987,0.08618412607407026
4177,0.08604826837625452
28108,0.08598748094692281
4018,0.08536359748429219
1488,0.08491753550403483
57053,0.08491731182487468
307,0.08485268425595963
1083,0.0848183567605737
5560,0.08416682687186477
24515,0.0840198535268612
9974,0.08397442168706187
5641,0.08385367426741608
1532,0.08370882851980091
2466,0.08362695401911599
744,0.08296540365794983
1753,0.08259665348911116
7063,0.08259463972466186
7855,0.0825348106073085
930,0.08203930049904538
12047,0.08202107651802841
26015,0.08195527661525798
30539,0.08193892165889921
107930,0.08182562821166954
19052,0.08171501257924667
28241,0.08165439620320697
2355,0.08157346930861914
13779,0.08142097614066719
13976,0.08111016510497657
6337,0.08087473613900896
