lcc_size,num_components,fragmentation,lcc_drop_percent,k
119020,5665,0.0954483618206553,0.09233610341643582,1
118898,5778,0.09636869385459579,0.19474523629648283,2
118828,5840,0.09689383402874363,0.2535045748342147,3
118740,5909,0.09755578524958963,0.32737345756736336,4
118655,5986,0.0981949458483754,0.3987240829346092,5
118457,6163,0.09969294845486187,0.5649290690841937,6
118396,6215,0.10014972676764988,0.6161336355242173,7
118246,6338,0.10128294773964064,0.742046503819357,8
118245,6338,0.1012837175365392,0.7428859229413246,9
117864,6673,0.10417268374249444,1.0627046084109797,10
117835,6699,0.10438629160364521,1.08704776294804,11
117763,6764,0.10492672990392804,1.147485939729707,12
117650,6857,0.10577880471546819,1.2423403005120457,13
117585,6913,0.10626605657996746,1.2969025434399395,14
117458,7029,0.10722456580397521,1.4035087719298245,15
117385,7093,0.10777264297224165,1.4647863678334592,16
117324,7144,0.10822951741751097,1.5159909342734827,17
117288,7175,0.10849637433301407,1.5462100226643163,18
117229,7220,0.1089380591512682,1.5957357508604046,19
117143,7303,0.10958498023715413,1.667925795349618,20
